CMDLINE /global/homes/t/tommylin/.conda/envs/myenv/bin/python main.py
MEM 4523.871094 1707870173.8563
MEM 4524.031250 1707870173.9565
MEM 4562.843750 1707870174.0567
MEM 4562.843750 1707870174.1569
MEM 4562.843750 1707870174.2572
MEM 4562.843750 1707870174.3573
MEM 4562.843750 1707870174.4575
MEM 4562.843750 1707870174.5577
MEM 4562.843750 1707870174.6579
MEM 4562.843750 1707870174.7581
MEM 4607.429688 1707870174.8583
MEM 4682.453125 1707870174.9585
MEM 4683.742188 1707870175.0587
MEM 4793.828125 1707870175.1589
MEM 4903.398438 1707870175.2591
MEM 4909.585938 1707870175.3593
MEM 4909.585938 1707870175.4595
MEM 4909.585938 1707870175.5597
MEM 4909.585938 1707870175.6598
MEM 4909.585938 1707870175.7600
MEM 4909.585938 1707870175.8602
MEM 4909.585938 1707870175.9604
MEM 4909.839844 1707870176.0605
MEM 4909.839844 1707870176.1607
MEM 4909.839844 1707870176.2609
MEM 4909.886719 1707870176.3611
MEM 4909.886719 1707870176.4613
MEM 4909.886719 1707870176.5615
MEM 4909.886719 1707870176.6616
MEM 4909.886719 1707870176.7618
MEM 4909.886719 1707870176.8620
MEM 4909.886719 1707870176.9622
MEM 4909.886719 1707870177.0624
MEM 4909.886719 1707870177.1625
MEM 4909.886719 1707870177.2628
MEM 4909.886719 1707870177.3630
MEM 4909.886719 1707870177.4632
MEM 4909.886719 1707870177.5634
MEM 4909.886719 1707870177.6636
MEM 4909.886719 1707870177.7638
MEM 4909.886719 1707870177.8640
MEM 4909.886719 1707870177.9643
MEM 4909.886719 1707870178.0645
MEM 4909.886719 1707870178.1648
MEM 4909.886719 1707870178.2650
MEM 4909.886719 1707870178.3657
MEM 4909.886719 1707870178.4660
MEM 4909.886719 1707870178.5662
MEM 4909.886719 1707870178.6665
MEM 4909.886719 1707870178.7668
MEM 4909.886719 1707870178.8671
MEM 4909.886719 1707870178.9674
MEM 4909.886719 1707870179.0677
MEM 4909.886719 1707870179.1680
MEM 4909.886719 1707870179.2683
MEM 4909.886719 1707870179.3691
MEM 4909.886719 1707870179.4694
MEM 4909.886719 1707870179.5697
MEM 4909.886719 1707870179.6700
MEM 4909.925781 1707870179.7703
MEM 4909.953125 1707870179.8705
MEM 4909.953125 1707870179.9706
MEM 4909.953125 1707870180.0708
MEM 4909.953125 1707870180.1710
MEM 4909.953125 1707870180.2712
MEM 4909.953125 1707870180.3714
MEM 4909.953125 1707870180.4715
MEM 4909.953125 1707870180.5717
MEM 4909.953125 1707870180.6719
MEM 4909.960938 1707870180.7721
MEM 4909.964844 1707870180.8722
MEM 4909.964844 1707870180.9725
MEM 4909.964844 1707870181.0726
MEM 4909.964844 1707870181.1728
MEM 4910.015625 1707870181.2731
MEM 4910.214844 1707870181.3736
MEM 4913.808594 1707870181.4738
MEM 4914.933594 1707870181.5741
MEM 4915.011719 1707870181.6743
MEM 4915.011719 1707870181.7745
MEM 4915.011719 1707870181.8747
MEM 4915.011719 1707870181.9749
MEM 4915.011719 1707870182.0752
MEM 4915.011719 1707870182.1753
MEM 4915.011719 1707870182.2756
MEM 4915.011719 1707870182.3759
MEM 4915.011719 1707870182.4762
MEM 4915.011719 1707870182.5766
MEM 4915.011719 1707870182.6769
MEM 4915.011719 1707870182.7775
MEM 4915.011719 1707870182.8778
MEM 4915.011719 1707870182.9782
MEM 4915.011719 1707870183.0785
MEM 4915.011719 1707870183.1788
MEM 4915.011719 1707870183.2792
MEM 4915.011719 1707870183.3795
MEM 4915.011719 1707870183.4799
MEM 4915.011719 1707870183.5803
MEM 4915.011719 1707870183.6806
MEM 4915.011719 1707870183.7810
MEM 4915.011719 1707870183.8816
MEM 4915.011719 1707870183.9819
MEM 4915.011719 1707870184.0823
MEM 4915.011719 1707870184.1826
MEM 4915.011719 1707870184.2830
MEM 4915.011719 1707870184.3833
MEM 4915.011719 1707870184.4837
MEM 4915.011719 1707870184.5840
MEM 4915.011719 1707870184.6843
MEM 4915.011719 1707870184.7852
MEM 4915.011719 1707870184.8855
MEM 4915.011719 1707870184.9859
MEM 4915.011719 1707870185.0862
MEM 4915.011719 1707870185.1865
MEM 4915.011719 1707870185.2869
MEM 4915.011719 1707870185.3872
MEM 4915.011719 1707870185.4876
MEM 4915.011719 1707870185.5879
MEM 4915.011719 1707870185.6881
MEM 4915.011719 1707870185.7882
MEM 4915.011719 1707870185.8889
MEM 4915.011719 1707870185.9891
MEM 4915.011719 1707870186.0893
MEM 4915.011719 1707870186.1895
MEM 4915.011719 1707870186.2897
MEM 4915.011719 1707870186.3899
MEM 4915.011719 1707870186.4900
MEM 4915.011719 1707870186.5902
MEM 4915.011719 1707870186.6904
MEM 4915.011719 1707870186.7905
MEM 4915.011719 1707870186.8907
MEM 4915.011719 1707870186.9909
MEM 4915.011719 1707870187.0911
MEM 4915.011719 1707870187.1912
MEM 4915.011719 1707870187.2914
MEM 4915.011719 1707870187.3916
MEM 4915.011719 1707870187.4918
MEM 4915.011719 1707870187.5920
MEM 4915.011719 1707870187.6921
MEM 4915.011719 1707870187.7923
MEM 4915.011719 1707870187.8925
MEM 4915.011719 1707870187.9927
MEM 4915.011719 1707870188.0929
MEM 4915.011719 1707870188.1938
MEM 4915.011719 1707870188.2940
MEM 4915.011719 1707870188.3941
MEM 4915.011719 1707870188.4943
MEM 4915.011719 1707870188.5945
MEM 4915.011719 1707870188.6947
MEM 4915.011719 1707870188.7949
MEM 4915.011719 1707870188.8950
MEM 4915.011719 1707870188.9952
MEM 4915.011719 1707870189.0953
MEM 4915.011719 1707870189.1955
MEM 4915.011719 1707870189.2957
MEM 4915.011719 1707870189.3959
MEM 4915.011719 1707870189.4961
MEM 4915.011719 1707870189.5962
MEM 4915.011719 1707870189.6964
MEM 4915.011719 1707870189.7970
MEM 4915.011719 1707870189.8972
MEM 4915.011719 1707870189.9974
MEM 4915.011719 1707870190.0978
MEM 4915.011719 1707870190.1980
MEM 4915.011719 1707870190.2981
MEM 4915.011719 1707870190.3983
MEM 4915.011719 1707870190.4985
MEM 4915.011719 1707870190.5986
MEM 4915.011719 1707870190.6988
MEM 4915.011719 1707870190.7990
MEM 4915.011719 1707870190.8991
MEM 4915.011719 1707870190.9993
MEM 4915.011719 1707870191.0995
MEM 4915.011719 1707870191.1997
MEM 4915.011719 1707870191.2998
MEM 4915.011719 1707870191.4000
MEM 4915.011719 1707870191.5002
MEM 4915.011719 1707870191.6004
MEM 4915.011719 1707870191.7005
MEM 4915.011719 1707870191.8007
MEM 4915.011719 1707870191.9009
MEM 4915.011719 1707870192.0015
MEM 4915.011719 1707870192.1017
MEM 4915.011719 1707870192.2019
MEM 4915.011719 1707870192.3021
MEM 4915.011719 1707870192.4022
MEM 4915.011719 1707870192.5024
MEM 4915.011719 1707870192.6026
MEM 4915.011719 1707870192.7028
MEM 4915.011719 1707870192.8030
MEM 4915.011719 1707870192.9032
MEM 4915.011719 1707870193.0034
MEM 4915.011719 1707870193.1042
MEM 4915.011719 1707870193.2044
MEM 4915.011719 1707870193.3046
MEM 4915.011719 1707870193.4053
MEM 4915.011719 1707870193.5055
MEM 4915.011719 1707870193.6056
MEM 4915.011719 1707870193.7059
MEM 4915.011719 1707870193.8061
MEM 4915.011719 1707870193.9063
MEM 4915.011719 1707870194.0065
MEM 4915.011719 1707870194.1066
MEM 4915.011719 1707870194.2075
MEM 4915.011719 1707870194.3077
MEM 4915.011719 1707870194.4079
MEM 4915.011719 1707870194.5081
MEM 4915.011719 1707870194.6083
MEM 4915.011719 1707870194.7085
MEM 4915.011719 1707870194.8087
MEM 4915.011719 1707870194.9088
MEM 4915.011719 1707870195.0094
MEM 4915.011719 1707870195.1096
MEM 4915.011719 1707870195.2099
MEM 4915.011719 1707870195.3102
MEM 4915.011719 1707870195.4105
MEM 4915.011719 1707870195.5107
MEM 4915.011719 1707870195.6109
MEM 4915.011719 1707870195.7112
MEM 4915.011719 1707870195.8114
MEM 4915.011719 1707870195.9116
MEM 4915.011719 1707870196.0117
MEM 4915.011719 1707870196.1119
MEM 4915.011719 1707870196.2121
MEM 4915.011719 1707870196.3122
MEM 4915.011719 1707870196.4124
MEM 4915.011719 1707870196.5126
MEM 4915.011719 1707870196.6127
MEM 4915.011719 1707870196.7129
MEM 4915.011719 1707870196.8131
MEM 4915.011719 1707870196.9133
MEM 4915.011719 1707870197.0136
MEM 4915.011719 1707870197.1138
MEM 4915.011719 1707870197.2140
MEM 4915.011719 1707870197.3142
MEM 4915.011719 1707870197.4144
MEM 4915.011719 1707870197.5146
MEM 4915.011719 1707870197.6148
MEM 4915.011719 1707870197.7150
MEM 4915.011719 1707870197.8152
MEM 4915.011719 1707870197.9154
MEM 4915.011719 1707870198.0157
MEM 4915.011719 1707870198.1159
MEM 4915.011719 1707870198.2162
MEM 4915.011719 1707870198.3164
MEM 4915.011719 1707870198.4167
MEM 4915.011719 1707870198.5169
MEM 4915.011719 1707870198.6176
MEM 4915.011719 1707870198.7179
MEM 4915.011719 1707870198.8181
MEM 4915.011719 1707870198.9183
MEM 4915.011719 1707870199.0184
MEM 4915.011719 1707870199.1186
MEM 4915.011719 1707870199.2187
MEM 4915.011719 1707870199.3189
MEM 4915.011719 1707870199.4191
MEM 4915.011719 1707870199.5193
MEM 4915.011719 1707870199.6194
MEM 4915.011719 1707870199.7196
MEM 4915.011719 1707870199.8198
MEM 4915.011719 1707870199.9200
MEM 4915.011719 1707870200.0202
MEM 4915.011719 1707870200.1204
MEM 4915.011719 1707870200.2205
MEM 4915.011719 1707870200.3207
MEM 4915.011719 1707870200.4209
MEM 4915.011719 1707870200.5211
MEM 4915.011719 1707870200.6213
MEM 4915.011719 1707870200.7216
MEM 4915.011719 1707870200.8218
MEM 4915.011719 1707870200.9219
MEM 4915.011719 1707870201.0221
MEM 4915.011719 1707870201.1223
MEM 4915.011719 1707870201.2224
MEM 4915.011719 1707870201.3226
MEM 4915.011719 1707870201.4228
MEM 4915.011719 1707870201.5229
MEM 4915.011719 1707870201.6231
MEM 4915.011719 1707870201.7233
MEM 4915.011719 1707870201.8235
MEM 4915.011719 1707870201.9237
MEM 4915.011719 1707870202.0239
MEM 4915.011719 1707870202.1241
MEM 4915.011719 1707870202.2244
MEM 4915.011719 1707870202.3246
MEM 4915.011719 1707870202.4248
MEM 4915.011719 1707870202.5255
MEM 4915.011719 1707870202.6257
MEM 4915.011719 1707870202.7259
MEM 4915.011719 1707870202.8261
MEM 4915.011719 1707870202.9263
MEM 4915.011719 1707870203.0265
MEM 4915.011719 1707870203.1266
MEM 4915.011719 1707870203.2268
MEM 4915.011719 1707870203.3270
MEM 4915.011719 1707870203.4271
MEM 4915.011719 1707870203.5273
MEM 4915.011719 1707870203.6275
MEM 4915.011719 1707870203.7277
MEM 4915.011719 1707870203.8278
MEM 4915.011719 1707870203.9281
MEM 4915.011719 1707870204.0283
MEM 4915.011719 1707870204.1286
MEM 4915.011719 1707870204.2294
MEM 4915.011719 1707870204.3295
MEM 4915.011719 1707870204.4297
MEM 4915.011719 1707870204.5299
MEM 4915.011719 1707870204.6300
MEM 4915.011719 1707870204.7302
MEM 4915.011719 1707870204.8304
MEM 4915.011719 1707870204.9306
MEM 4915.011719 1707870205.0308
MEM 4915.011719 1707870205.1309
MEM 4915.011719 1707870205.2311
MEM 4915.011719 1707870205.3314
MEM 4915.011719 1707870205.4315
MEM 4915.011719 1707870205.5317
MEM 4915.011719 1707870205.6319
MEM 4915.011719 1707870205.7320
MEM 4915.011719 1707870205.8323
MEM 4915.011719 1707870205.9325
MEM 4915.011719 1707870206.0327
MEM 4915.011719 1707870206.1330
MEM 4915.011719 1707870206.2332
MEM 4915.011719 1707870206.3336
MEM 4915.011719 1707870206.4338
MEM 4915.011719 1707870206.5340
MEM 4915.011719 1707870206.6341
MEM 4915.015625 1707870206.7343
MEM 4915.015625 1707870206.8345
MEM 4915.015625 1707870206.9347
MEM 4915.015625 1707870207.0349
MEM 4915.027344 1707870207.1351
MEM 4915.031250 1707870207.2352
MEM 4915.390625 1707870207.3355
MEM 4915.394531 1707870207.4357
MEM 4915.394531 1707870207.5359
MEM 4915.394531 1707870207.6361
MEM 4915.394531 1707870207.7363
MEM 4915.394531 1707870207.8365
MEM 4915.394531 1707870207.9367
MEM 4915.394531 1707870208.0369
MEM 4915.394531 1707870208.1371
MEM 4915.394531 1707870208.2373
MEM 4915.394531 1707870208.3375
MEM 4915.394531 1707870208.4376
MEM 4915.394531 1707870208.5378
MEM 4915.394531 1707870208.6381
MEM 4915.394531 1707870208.7382
MEM 4915.394531 1707870208.8384
MEM 4915.394531 1707870208.9387
MEM 4915.394531 1707870209.0390
MEM 4915.394531 1707870209.1392
MEM 4915.394531 1707870209.2395
MEM 4915.394531 1707870209.3397
MEM 4915.394531 1707870209.4400
MEM 4915.394531 1707870209.5402
MEM 4915.394531 1707870209.6404
MEM 4915.394531 1707870209.7407
MEM 4915.394531 1707870209.8409
MEM 4915.394531 1707870209.9411
MEM 4915.394531 1707870210.0413
MEM 4915.394531 1707870210.1415
MEM 4915.394531 1707870210.2418
MEM 4915.394531 1707870210.3419
MEM 4915.394531 1707870210.4422
MEM 4915.394531 1707870210.5424
MEM 4915.394531 1707870210.6426
MEM 4915.394531 1707870210.7428
MEM 4915.394531 1707870210.8440
MEM 4915.394531 1707870210.9443
MEM 4915.394531 1707870211.0447
MEM 4915.394531 1707870211.1450
MEM 4915.394531 1707870211.2453
MEM 4915.394531 1707870211.3457
MEM 4915.394531 1707870211.4459
MEM 4915.394531 1707870211.5462
MEM 4915.394531 1707870211.6466
MEM 4915.394531 1707870211.7469
MEM 4915.394531 1707870211.8472
MEM 4915.394531 1707870211.9479
MEM 4915.394531 1707870212.0483
MEM 4915.394531 1707870212.1486
MEM 4915.394531 1707870212.2489
MEM 4915.394531 1707870212.3492
MEM 4915.394531 1707870212.4496
MEM 4915.394531 1707870212.5499
MEM 4915.394531 1707870212.6502
MEM 4915.394531 1707870212.7505
MEM 4915.394531 1707870212.8509
MEM 4915.394531 1707870212.9512
MEM 4915.394531 1707870213.0515
MEM 4915.394531 1707870213.1518
MEM 4915.394531 1707870213.2521
MEM 4915.394531 1707870213.3524
MEM 4915.394531 1707870213.4526
MEM 4915.394531 1707870213.5533
MEM 4915.394531 1707870213.6537
MEM 4915.394531 1707870213.7539
MEM 4915.394531 1707870213.8543
MEM 4915.394531 1707870213.9546
MEM 4915.394531 1707870214.0549
MEM 4915.394531 1707870214.1553
MEM 4915.394531 1707870214.2557
MEM 4915.394531 1707870214.3564
MEM 4915.394531 1707870214.4568
MEM 4915.394531 1707870214.5571
MEM 4915.394531 1707870214.6574
MEM 4915.394531 1707870214.7577
MEM 4915.394531 1707870214.8580
MEM 4915.394531 1707870214.9583
MEM 4915.394531 1707870215.0587
MEM 4915.394531 1707870215.1590
MEM 4915.394531 1707870215.2593
